conversion_tech;resource;conversion_factor
electrolysis_2030;electricity;-1.0
electrolysis_2030;hydrogen;0.69
electrolysis_2035;electricity;-1.0
electrolysis_2035;hydrogen;0.70
electrolysis_2040;electricity;-1.0
electrolysis_2040;hydrogen;0.71
electrolysis_2050;electricity;-1.0
electrolysis_2050;hydrogen;0.74
ocgt;methane;-2.5
ocgt;electricity;1.0
ccgt;methane;-1.67
ccgt;electricity;1.0
ocht;hydrogen;-2.5
ocht;electricity;1.0
ccht;hydrogen;-1.67
ccht;electricity;1.0
smr;methane;-1.31
smr;electricity;-0.017
smr;hydrogen;1.0
e_smr;methane;-0.79
e_smr;electricity;-0.327
e_smr;hydrogen;1.0
atr_ccs;methane;-1.25
atr_ccs;electricity;-0.108
atr_ccs;hydrogen;1.0
wind_onshore;electricity;1.0
wind_offshore;electricity;1.0
solar_pv;electricity;1.0
solar_rooftop_pv;electricity;1.0
other_res;electricity;1.0
nuclear_lte;uranium;-3.0
nuclear_lte;electricity;1.0
nuclear_new;uranium;-2.7
nuclear_new;electricity;1.0
hydro_river;electricity;1.0
hydro_reservoir;electricity;1.0
hydro_reservoir;reservoir_h2o;-1.0
hydro_reservoir_h2o_inflow;reservoir_h2o;1.0
hydro_pondage;electricity;1.0
hydro_pondage;pondage_h2o;-1.0
hydro_pondage_h2o_inflow;pondage_h2o;1.0
oil_pp;light_oil;-2.4
oil_pp;electricity;1.0
coal_pp;coal;-2.44
coal_pp;electricity;1.0
lignite_pp;lignite;-2.7
lignite_pp;electricity;1.0
lignite_mine;lignite;1.0
biogas_reactor;methane;1.0
heatpump;electricity;-1.0
heatpump;hp_demand;1.0
ev;electricity;-1.0
ev;ev_demand;1.0
dsr_1;electricity;1.0
dsr_2;electricity;1.0
dsr_3;electricity;1.0
dsr_4;electricity;1.0
dsr_5;electricity;1.0
dsr_6;electricity;1.0
dsr_7;electricity;1.0
dsr_8;electricity;1.0
dsr_9;electricity;1.0
dsr_10;electricity;1.0
mena_imports;hydrogen;1.0
ammonia_ships;hydrogen;1.0
ammonia_ships;electricity;-0.35
norway_imports;hydrogen;1.0
ukraine_imports;hydrogen;1.0
