conversion_tech;year_inv;invest_cost;life_span;finance_rate;early_decommissioning;annuity_perfect_foresight
electrolysis_2030;2030;1330000;25;0.1;0;0
electrolysis_2030;2035;1330000;0;0.1;0;0
electrolysis_2030;2040;1330000;0;0.08;0;0
electrolysis_2030;2050;1330000;0;0.06;0;0
electrolysis_2035;2030;1190000;0;0.1;0;0
electrolysis_2035;2035;1190000;25;0.1;0;0
electrolysis_2035;2040;1190000;0;0.08;0;0
electrolysis_2035;2050;1190000;0;0.06;0;0
electrolysis_2040;2030;1050000;0;0.1;0;0
electrolysis_2040;2035;1050000;0;0.1;0;0
electrolysis_2040;2040;1050000;25;0.08;0;0
electrolysis_2040;2050;1050000;0;0.06;0;0
electrolysis_2050;2030;910000;0;0.1;0;0
electrolysis_2050;2035;910000;0;0.1;0;0
electrolysis_2050;2040;910000;0;0.08;0;0
electrolysis_2050;2050;910000;25;0.06;0;0
atr_ccs;2030;1600000;25;0.07;0;0
atr_ccs;2035;1600000;25;0.07;0;0
atr_ccs;2040;1600000;25;0.07;0;0
atr_ccs;2050;1600000;25;0.07;0;0
smr;2030;0;25;0.05;1;0
smr;2035;0;25;0.05;1;0
smr;2040;0;25;0.05;1;0
smr;2050;0;25;0.05;1;0
e_smr;2030;850000;25;0.05;1;0
e_smr;2035;850000;25;0.05;1;0
e_smr;2040;850000;25;0.05;1;0
e_smr;2050;850000;25;0.05;1;0
ccgt;2030;0;25;0.0754;1;0
ccgt;2035;889000;25;0.0754;1;0
ccgt;2040;889000;25;0.0754;1;0
ccgt;2050;889000;25;0.0754;1;0
ocgt;2030;0;25;0.0617;1;0
ocgt;2035;522000;25;0.0617;1;0
ocgt;2040;522000;25;0.0617;1;0
ocgt;2050;522000;25;0.0617;1;0
coal_pp;2030;0;10;0.05;1;0
coal_pp;2035;0;10;0.05;1;0
coal_pp;2040;0;10;0.05;1;0
coal_pp;2050;0;10;0.05;1;0
lignite_pp;2030;0;10;0.05;1;0
lignite_pp;2035;0;10;0.05;1;0
lignite_pp;2040;0;10;0.05;1;0
lignite_pp;2050;0;10;0.05;1;0
nuclear_lte;2030;0;30;0.05;1;0
nuclear_lte;2035;0;30;0.05;1;0
nuclear_lte;2040;0;30;0.05;1;0
nuclear_lte;2050;0;30;0.05;1;0
nuclear_new;2030;9500000;60;0.07;0;0
nuclear_new;2035;9500000;60;0.07;0;0
nuclear_new;2040;5500000;60;0.07;0;0
nuclear_new;2050;4946000;60;0.07;0;0
oil_pp;2030;0;10;0.05;1;0
oil_pp;2035;0;10;0.05;1;0
oil_pp;2040;0;10;0.05;1;0
oil_pp;2050;0;10;0.05;1;0
ccht;2030;0;0;0.0754;1;0
ccht;2035;978000;25;0.0754;1;0
ccht;2040;978000;25;0.0754;1;0
ccht;2050;978000;25;0.0754;1;0
ocht;2030;0;0;0.0617;1;0
ocht;2035;600000;25;0.0617;1;0
ocht;2040;600000;25;0.0617;1;0
ocht;2050;600000;25;0.0617;1;0
other_res;2030;0;10;0.05;1;0
other_res;2035;0;10;0.05;1;0
other_res;2040;0;10;0.05;1;0
