conversion_tech;year_op;emission_factor;ramp_up;ramp_down
electrolysis_2030;2030;;;
electrolysis_2030;2035;;;
electrolysis_2030;2040;;;
electrolysis_2030;2050;;;
electrolysis_2035;2030;;;
electrolysis_2035;2035;;;
electrolysis_2035;2040;;;
electrolysis_2035;2050;;;
electrolysis_2040;2030;;;
electrolysis_2040;2035;;;
electrolysis_2040;2040;;;
electrolysis_2040;2050;;;
electrolysis_2050;2030;;;
electrolysis_2050;2035;;;
electrolysis_2050;2040;;;
electrolysis_2050;2050;;;
atr_ccs;2030;0.023;0.286;0.286
atr_ccs;2035;0.023;0.286;0.286
atr_ccs;2040;0.023;0.286;0.286
atr_ccs;2050;0.023;0.286;0.286
smr;2030;0.28;0.04;0.04
smr;2035;0.28;0.04;0.04
smr;2040;0.28;0.04;0.04
smr;2050;0.28;0.04;0.04
e_smr;2030;0.176;0.5;1.0
e_smr;2035;0.176;0.5;1.0
e_smr;2040;0.176;0.5;1.0
e_smr;2050;0.176;0.5;1.0
ccgt;2030;0.342;;
ccgt;2035;0.342;;
ccgt;2040;0.342;;
ccgt;2050;0.342;;
ocgt;2030;0.513;;
ocgt;2035;0.513;;
ocgt;2040;0.513;;
ocgt;2050;0.513;;
coal_pp;2030;0.825;;
coal_pp;2035;0.825;;
coal_pp;2040;0.825;;
coal_pp;2050;0.825;;
lignite_pp;2030;0.983;;
lignite_pp;2035;0.983;;
lignite_pp;2040;0.983;;
lignite_pp;2050;0.983;;
nuclear_lte;2030;0;0.2;0.2
nuclear_lte;2035;0;0.2;0.2
nuclear_lte;2040;0;0.2;0.2
nuclear_lte;2050;0;0.2;0.2
nuclear_new;2030;0;0.2;0.2
nuclear_new;2035;0;0.2;0.2
nuclear_new;2040;0;0.2;0.2
nuclear_new;2050;0;0.2;0.2
oil_pp;2030;0.702;;
oil_pp;2035;0.702;;
oil_pp;2040;0.702;;
oil_pp;2050;0.702;;
ccht;2030;0;;
ccht;2035;0;;
ccht;2040;0;;
ccht;2050;0;;
ocht;2030;0;;
ocht;2035;0;;
ocht;2040;0;;
ocht;2050;0;;
other_res;2030;0;;
other_res;2035;0;;
other_res;2040;0;;
other_res;2050;0;;
biogas_reactor;2030;-0.205;;
biogas_reactor;2035;-0.205;;
biogas_reactor;2040;-0.205;;
biogas_reactor;2050;-0.205;;
lignite_mine;2030;;;
lignite_mine;2035;;;
lignite_mine;2040;;;
lignite_mine;2050;;;
wind_onshore;2030;;;
wind_onshore;2035;;;
wind_onshore;2040;;;
wind_onshore;2050;;;
