area;year_op;conversion_tech;max_yearly_production;max_daily_production;power_capacity_max;power_capacity_min;fixed_cost;variable_cost;must_run
AL;2030;electrolysis_2030;;;;;53200.0;0.0;0.0
AL;2035;electrolysis_2030;;;;;53200.0;0.0;0.0
AL;2040;electrolysis_2030;;;;;53200.0;0.0;0.0
AL;2050;electrolysis_2030;;;;;53200.0;0.0;0.0
AL;2030;electrolysis_2035;;;;;47600.0;0.0;0.0
AL;2035;electrolysis_2035;;;;;47600.0;0.0;0.0
AL;2040;electrolysis_2035;;;;;47600.0;0.0;0.0
AL;2050;electrolysis_2035;;;;;47600.0;0.0;0.0
AL;2030;electrolysis_2040;;;;;42000.0;0.0;0.0
AL;2035;electrolysis_2040;;;;;42000.0;0.0;0.0
AL;2040;electrolysis_2040;;;;;42000.0;0.0;0.0
AL;2050;electrolysis_2040;;;;;42000.0;0.0;0.0
AL;2030;electrolysis_2050;;;;;36400.0;0.0;0.0
AL;2035;electrolysis_2050;;;;;36400.0;0.0;0.0
AL;2040;electrolysis_2050;;;;;36400.0;0.0;0.0
AL;2050;electrolysis_2050;;;;;36400.0;0.0;0.0
AL;2030;atr_ccs;;;0.0;;108000.0;3.1;0.0
AL;2035;atr_ccs;;;0.0;;108000.0;3.1;0.0
AL;2040;atr_ccs;;;0.0;;108000.0;3.1;0.0
AL;2050;atr_ccs;;;0.0;;108000.0;3.1;0.0
AL;2030;smr;;;0.0;;198000.0;0.0;0.0
AL;2035;smr;;;0.0;;198000.0;0.0;0.0
AL;2040;smr;;;0.0;;198000.0;0.0;0.0
AL;2050;smr;;;0.0;;198000.0;0.0;0.0
AL;2030;e_smr;;;;;144000.0;0.0;0.0
AL;2035;e_smr;;;;;144000.0;0.0;0.0
AL;2040;e_smr;;;;;144000.0;0.0;0.0
AL;2050;e_smr;;;;;144000.0;0.0;0.0
AL;2030;ccgt;;;;;20000.0;2.5;
AL;2035;ccgt;;;;;33810.0;2.5;
AL;2040;ccgt;;;;;33810.0;2.5;
AL;2050;ccgt;;;;;33810.0;2.5;
AL;2030;ocgt;;;;;11900.0;2.4;
AL;2035;ocgt;;;;;20820.0;2.4;
AL;2040;ocgt;;;;;20820.0;2.4;
AL;2050;ocgt;;;;;20820.0;2.4;
AL;2030;coal_pp;;;;;33878.0;3.45;
AL;2035;coal_pp;;;0.0;;33878.0;3.45;
AL;2040;coal_pp;;;0.0;;33878.0;3.45;
AL;2050;coal_pp;;;0.0;;33878.0;3.45;
AL;2030;lignite_pp;;;;;38816.0;4.1;
AL;2035;lignite_pp;;;0.0;;38816.0;4.1;
AL;2040;lignite_pp;;;0.0;;38816.0;4.1;
AL;2050;lignite_pp;;;0.0;;38816.0;4.1;
AL;2030;nuclear_lte;;;;;319000.0;;
AL;2035;nuclear_lte;;;0.0;;319000.0;;
AL;2040;nuclear_lte;;;0.0;;319000.0;;
AL;2050;nuclear_lte;;;0.0;;319000.0;;
AL;2030;nuclear_new;;;;;100000.0;;
AL;2035;nuclear_new;;;0.0;;100000.0;;
AL;2040;nuclear_new;;;0.0;;100000.0;;
AL;2050;nuclear_new;;;0.0;;100000.0;;
AL;2030;oil_pp;;;;;26472.0;3.2;
AL;2035;oil_pp;;;0.0;;26472.0;3.2;
AL;2040;oil_pp;;;0.0;;26472.0;3.2;
AL;2050;oil_pp;;;0.0;;26472.0;3.2;
AL;2030;ccht;;;;;37190.0;2.5;
AL;2035;ccht;;;;;37190.0;2.5;
AL;2040;ccht;;;;;37190.0;2.5;
AL;2050;ccht;;;;;37190.0;2.5;
AL;2030;ocht;;;;;23940.0;2.4;
AL;2035;ocht;;;;;23940.0;2.4;
AL;2040;ocht;;;;;23940.0;2.4;
AL;2050;ocht;;;;;23940.0;2.4;
AL;2030;other_res;;;;;;;1.0
AL;2035;other_res;;;0.0;0.0;;;1.0
AL;2040;other_res;;;0.0;0.0;;;1.0
AL;2050;other_res;;;0.0;0.0;;;1.0
AL;2030;biogas_reactor;503089.17;;;;0.0;49.94;
AL;2035;biogas_reactor;503089.17;;;;0.0;50.38;
AL;2040;biogas_reactor;503089.17;;;;0.0;50.81;
AL;2050;biogas_reactor;503089.17;;;;0.0;49.97;
AL;2030;lignite_mine;;;;;0.0;;
AL;2035;lignite_mine;;;;;0.0;;
AL;2040;lignite_mine;;;;;0.0;;
AL;2050;lignite_mine;;;;;0.0;;
AL;2030;wind_onshore;;;;;16663.0;1.98;1.0
AL;2035;wind_onshore;;;0.0;;16314.0;1.93;1.0
AL;2040;wind_onshore;;;600.0;;15965.0;1.89;1.0
AL;2050;wind_onshore;;;600.0;;15602.0;1.85;1.0
AL;2030;wind_offshore;;;;;34000.0;3.45;1.0
AL;2035;wind_offshore;;;0.0;;32000.0;3.16;1.0
AL;2040;wind_offshore;;;0.0;;30000.0;2.99;1.0
AL;2050;wind_offshore;;;0.0;;28000.0;2.78;1.0
AL;2030;solar_pv;;;;;9500.0;;1.0
AL;2035;solar_pv;;;1000.0;;8800.0;;1.0
AL;2040;solar_pv;;;1200.0;;8100.0;;1.0
AL;2050;solar_pv;;;1200.0;;7400.0;;1.0
AL;2030;solar_rooftop_pv;;;;;10700.0;;1.0
AL;2035;solar_rooftop_pv;;;0.0;;10150.0;;1.0
AL;2040;solar_rooftop_pv;;;0.0;;9600.0;;1.0
AL;2050;solar_rooftop_pv;;;0.0;;8900.0;;1.0
AL;2030;hydro_river;;;;;130000.0;;1.0
AL;2035;hydro_river;;;534.8;534.8;130000.0;;1.0
AL;2040;hydro_river;;;734.8;734.8;130000.0;;1.0
AL;2050;hydro_river;;;734.8;734.8;130000.0;;1.0
AL;2030;hydro_reservoir;;;;;130000.0;;
AL;2035;hydro_reservoir;;;2031.7;2031.7;130000.0;;
