storage_tech;year_inv;invest_cost_energy;invest_cost_power;life_span;finance_rate;main_resource;end_of_life;early_decommissioning;annuity_perfect_foresight
battery;2030;200000.0;80000.0;20;0.05;electricity;;0;0
battery;2035;190000.0;70000.0;25;0.05;electricity;;0;0
battery;2040;170000.0;70000.0;30;0.05;electricity;;0;0
battery;2050;170000.0;70000.0;30;0.05;electricity;;0;0
PHS;2030;;4250000.0;50;0.05;electricity;;0;0
PHS;2035;;4250000.0;50;0.05;electricity;;0;0
PHS;2040;;4250000.0;50;0.05;electricity;;0;0
PHS;2050;;4250000.0;50;0.05;electricity;;0;0
h2_tank;2030;48000.0;;;0.05;hydrogen;;0;0
h2_tank;2035;38500.0;;30;0.05;hydrogen;;0;0
h2_tank;2040;29000.0;;30;0.05;hydrogen;;0;0
h2_tank;2050;22000.0;;30;0.05;hydrogen;;0;0
salt_cavern;2030;2130.0;;;0.05;hydrogen;;0;0
salt_cavern;2035;1865.0;;;0.05;hydrogen;;0;0
salt_cavern;2040;1600.0;;100;0.05;hydrogen;;0;0
salt_cavern;2050;1280.0;;100;0.05;hydrogen;;0;0
hydro_reservoir_volume;2030;;;50;0.05;reservoir_h2o;;0;0
hydro_reservoir_volume;2035;;;50;0.05;reservoir_h2o;;0;0
hydro_reservoir_volume;2040;;;50;0.05;reservoir_h2o;;0;0
hydro_reservoir_volume;2050;;;50;0.05;reservoir_h2o;;0;0
hydro_pondage_volume;2030;;;50;0.05;pondage_h2o;;0;0
hydro_pondage_volume;2035;;;50;0.05;pondage_h2o;;0;0
hydro_pondage_volume;2040;;;50;0.05;pondage_h2o;;0;0
hydro_pondage_volume;2050;;;50;0.05;pondage_h2o;;0;0
