area;year_inv;storage_tech;energy_capacity_investment_max;energy_capacity_investment_min;power_capacity_investment_max;power_capacity_investment_min
AL;2030;PHS;0.0;0.0;0.0;0.0
AT;2030;PHS;1748453.0;1748453.0;6072.3;6072.3
BA;2030;PHS;3430.0;3430.0;0.0;0.0
BE;2030;PHS;5800.0;5800.0;1305.0;1305.0
BG;2030;PHS;399000.0;399000.0;1399.0;1399.0
CH;2030;PHS;1250000.0;1250000.0;4360.0;4360.0
CY;2030;PHS;0.0;0.0;0.0;0.0
CZ;2030;PHS;6065.0;6065.0;1240.125;1240.125
DE;2030;PHS;1038838.95;1038838.95;8972.94;8972.94
DK;2030;PHS;0.0;0.0;0.0;0.0
EE;2030;PHS;0.0;0.0;0.0;0.0
ES;2030;PHS;6908977.000000001;6908977.000000001;9617.770333333334;9617.770333333334
FI;2030;PHS;0.0;0.0;0.0;0.0
FR;2030;PHS;104040.0;104040.0;3800.0;3800.0
GR;2030;PHS;15540.0;15540.0;1929.0;1929.0
HR;2030;PHS;18300.0;18300.0;281.5;281.5
HU;2030;PHS;0.0;0.0;0.0;0.0
IE;2030;PHS;1540.0;1540.0;652.0;652.0
IT;2030;PHS;0.0;0.0;0.0;0.0
LT;2030;PHS;10600.0;10600.0;938.0;938.0
LU;2030;PHS;5000.0;5000.0;1300.0;1300.0
LV;2030;PHS;0.0;0.0;0.0;0.0
MD;2030;PHS;0.0;0.0;0.0;0.0
ME;2030;PHS;0.0;0.0;0.0;0.0
MK;2030;PHS;0.0;0.0;0.0;0.0
MT;2030;PHS;0.0;0.0;0.0;0.0
NL;2030;PHS;0.0;0.0;0.0;0.0
NO;2030;PHS;14319046.872076245;14319046.872076245;740.3199999999999;740.3199999999999
PL;2030;PHS;6440.0;6440.0;1396.9;1396.9
PT;2030;PHS;2229200.0;2229200.0;4469.400000000001;4469.400000000001
RO;2030;PHS;800.0;800.0;0.0;0.0
RS;2030;PHS;498000.0;498000.0;614.0;614.0
SE;2030;PHS;0.0;0.0;0.0;0.0
SI;2030;PHS;0.0;0.0;0.0;0.0
SK;2030;PHS;52259.39494749999;52259.39494749999;961.0;961.0
TR;2030;PHS;0.0;0.0;0.0;0.0
UA;2030;PHS;1288407.880952381;1288407.880952381;1820.0;1820.0
UK;2030;PHS;16000.0;16000.0;3566.0;3566.0
AL;2035;PHS;0.0;0.0;0.0;0.0
AT;2035;PHS;0.0;0.0;0.0;0.0
BA;2035;PHS;0.0;0.0;0.0;0.0
BE;2035;PHS;0.0;0.0;0.0;0.0
BG;2035;PHS;0.0;0.0;0.0;0.0
CH;2035;PHS;0.0;0.0;0.0;0.0
CY;2035;PHS;0.0;0.0;0.0;0.0
CZ;2035;PHS;0.0;0.0;0.0;0.0
DE;2035;PHS;0.0;0.0;0.0;0.0
DK;2035;PHS;0.0;0.0;0.0;0.0
EE;2035;PHS;0.0;0.0;0.0;0.0
ES;2035;PHS;0.0;0.0;0.0;0.0
FI;2035;PHS;0.0;0.0;0.0;0.0
FR;2035;PHS;0.0;0.0;0.0;0.0
GR;2035;PHS;0.0;0.0;0.0;0.0
HR;2035;PHS;0.0;0.0;0.0;0.0
HU;2035;PHS;0.0;0.0;0.0;0.0
IE;2035;PHS;0.0;0.0;0.0;0.0
IT;2035;PHS;0.0;0.0;0.0;0.0
LT;2035;PHS;0.0;0.0;0.0;0.0
LU;2035;PHS;0.0;0.0;0.0;0.0
LV;2035;PHS;0.0;0.0;0.0;0.0
MD;2035;PHS;0.0;0.0;0.0;0.0
ME;2035;PHS;0.0;0.0;0.0;0.0
MK;2035;PHS;0.0;0.0;0.0;0.0
MT;2035;PHS;0.0;0.0;0.0;0.0
NL;2035;PHS;0.0;0.0;0.0;0.0
NO;2035;PHS;0.0;0.0;0.0;0.0
PL;2035;PHS;0.0;0.0;0.0;0.0
PT;2035;PHS;0.0;0.0;0.0;0.0
RO;2035;PHS;0.0;0.0;0.0;0.0
RS;2035;PHS;0.0;0.0;0.0;0.0
SE;2035;PHS;0.0;0.0;0.0;0.0
SI;2035;PHS;0.0;0.0;0.0;0.0
SK;2035;PHS;0.0;0.0;0.0;0.0
TR;2035;PHS;0.0;0.0;0.0;0.0
UA;2035;PHS;0.0;0.0;0.0;0.0
UK;2035;PHS;0.0;0.0;0.0;0.0
AL;2040;PHS;0.0;0.0;0.0;0.0
AT;2040;PHS;216000.0;216000.0;1470.0;1470.0
BA;2040;PHS;0.0;0.0;0.0;0.0
BE;2040;PHS;0.0;0.0;0.0;0.0
BG;2040;PHS;0.0;0.0;1200.0;1200.0
CH;2040;PHS;160000.0;160000.0;1659.999999999999;1659.999999999999
CY;2040;PHS;640.0;640.0;80.0;80.0
CZ;2040;PHS;0.0;0.0;91.57500000000027;91.57500000000027
DE;2040;PHS;4441.180000000051;4441.180000000051;1776.9999999999982;1776.9999999999982
DK;2040;PHS;0.0;0.0;0.0;0.0
EE;2040;PHS;0.0;0.0;0.0;0.0
ES;2040;PHS;33352.639999999665;33352.639999999665;3986.199999999997;3986.199999999997
FI;2040;PHS;0.0;0.0;0.0;0.0
FR;2040;PHS;20000.0;20000.0;1500.0;1500.0
GR;2040;PHS;35900.0;35900.0;2440.0;2440.0
HR;2040;PHS;0.0;0.0;0.0;0.0
HU;2040;PHS;0.0;0.0;0.0;0.0
IE;2040;PHS;0.0;0.0;0.0;0.0
IT;2040;PHS;0.0;0.0;0.0;0.0
LT;2040;PHS;0.0;0.0;0.0;0.0
LU;2040;PHS;0.0;0.0;0.0;0.0
LV;2040;PHS;0.0;0.0;0.0;0.0
MD;2040;PHS;0.0;0.0;0.0;0.0
ME;2040;PHS;0.0;0.0;0.0;0.0
MK;2040;PHS;273603.0;273603.0;332.85;332.85
MT;2040;PHS;0.0;0.0;0.0;0.0
NL;2040;PHS;0.0;0.0;0.0;0.0
NO;2040;PHS;0.0;0.0;0.0;0.0
PL;2040;PHS;0.0;0.0;2769.9999999999995;2769.9999999999995
PT;2040;PHS;0.0;0.0;0.0;0.0
RO;2040;PHS;9600.0;9600.0;828.8;828.8
RS;2040;PHS;0.0;0.0;656.0;656.0
SE;2040;PHS;0.0;0.0;0.0;0.0
