link;transport_tech;area_from;area_to;resource
AL-GR;hvac;AL;GR;electricity
AL-ME;hvac;AL;ME;electricity
AL-MK;hvac;AL;MK;electricity
AL-RS;hvac;AL;RS;electricity
AT-CH;hvac;AT;CH;electricity
AT-CZ;hvac;AT;CZ;electricity
AT-DE;hvac;AT;DE;electricity
AT-HU;hvac;AT;HU;electricity
AT-IT;hvac;AT;IT;electricity
AT-SI;hvac;AT;SI;electricity
BA-HR;hvac;BA;HR;electricity
BA-ME;hvac;BA;ME;electricity
BA-RS;hvac;BA;RS;electricity
BE-FR;hvac;BE;FR;electricity
BE-NL;hvac;BE;NL;electricity
BG-GR;hvac;BG;GR;electricity
BG-MK;hvac;BG;MK;electricity
BG-RO;hvac;BG;RO;electricity
BG-RS;hvac;BG;RS;electricity
BG-TR;hvac;BG;TR;electricity
CH-AT;hvac;CH;AT;electricity
CH-DE;hvac;CH;DE;electricity
CH-FR;hvac;CH;FR;electricity
CH-IT;hvac;CH;IT;electricity
CH-IT;hvdc;CH;IT;electricity
CZ-AT;hvac;CZ;AT;electricity
CZ-DE;hvac;CZ;DE;electricity
CZ-PL;hvac;CZ;PL;electricity
CZ-SK;hvac;CZ;SK;electricity
DE-AT;hvac;DE;AT;electricity
DE-CH;hvac;DE;CH;electricity
DE-CZ;hvac;DE;CZ;electricity
DE-DK;hvac;DE;DK;electricity
DE-FR;hvac;DE;FR;electricity
DE-LU;hvac;DE;LU;electricity
DE-NL;hvac;DE;NL;electricity
DE-PL;hvac;DE;PL;electricity
DK-SE;hvac;DK;SE;electricity
DK-DE;hvac;DK;DE;electricity
EE-LV;hvac;EE;LV;electricity
ES-FR;hvac;ES;FR;electricity
ES-PT;hvac;ES;PT;electricity
FI-NO;hvac;FI;NO;electricity
FI-NO;hvdc;FI;NO;electricity
FI-SE;hvac;FI;SE;electricity
FR-BE;hvac;FR;BE;electricity
FR-CH;hvac;FR;CH;electricity
FR-DE;hvac;FR;DE;electricity
FR-ES;hvac;FR;ES;electricity
FR-IT;hvac;FR;IT;electricity
FR-IT;hvdc;FR;IT;electricity
GR-AL;hvac;GR;AL;electricity
GR-BG;hvac;GR;BG;electricity
GR-MK;hvac;GR;MK;electricity
GR-TR;hvac;GR;TR;electricity
HR-BA;hvac;HR;BA;electricity
HR-HU;hvac;HR;HU;electricity
HR-RS;hvac;HR;RS;electricity
HR-SI;hvac;HR;SI;electricity
HU-AT;hvac;HU;AT;electricity
HU-HR;hvac;HU;HR;electricity
HU-RO;hvac;HU;RO;electricity
HU-RS;hvac;HU;RS;electricity
HU-SI;hvac;HU;SI;electricity
HU-SK;hvac;HU;SK;electricity
IE-UK;hvac;IE;UK;electricity
IT-AT;hvac;IT;AT;electricity
IT-CH;hvac;IT;CH;electricity
IT-CH;hvdc;IT;CH;electricity
IT-FR;hvac;IT;FR;electricity
IT-FR;hvdc;IT;FR;electricity
IT-SI;hvac;IT;SI;electricity
IT-MT;hvac;IT;MT;electricity
LT-LV;hvac;LT;LV;electricity
LT-PL;hvac;LT;PL;electricity
LT-PL;hvdc;LT;PL;electricity
LU-DE;hvac;LU;DE;electricity
LV-EE;hvac;LV;EE;electricity
LV-LT;hvac;LV;LT;electricity
ME-AL;hvac;ME;AL;electricity
ME-BA;hvac;ME;BA;electricity
ME-RS;hvac;ME;RS;electricity
MK-AL;hvac;MK;AL;electricity
MK-BG;hvac;MK;BG;electricity
MK-GR;hvac;MK;GR;electricity
MK-RS;hvac;MK;RS;electricity
MT-IT;hvac;MT;IT;electricity
NL-BE;hvac;NL;BE;electricity
NL-DE;hvac;NL;DE;electricity
NO-SE;hvac;NO;SE;electricity
NO-FI;hvac;NO;FI;electricity
NO-FI;hvdc;NO;FI;electricity
PL-LT;hvac;PL;LT;electricity
PL-LT;hvdc;PL;LT;electricity
PL-CZ;hvac;PL;CZ;electricity
PL-DE;hvac;PL;DE;electricity
PL-SK;hvac;PL;SK;electricity
PT-ES;hvac;PT;ES;electricity
RO-BG;hvac;RO;BG;electricity
RO-HU;hvac;RO;HU;electricity
RO-RS;hvac;RO;RS;electricity
RS-AL;hvac;RS;AL;electricity
RS-BA;hvac;RS;BA;electricity
RS-BG;hvac;RS;BG;electricity
RS-HR;hvac;RS;HR;electricity
RS-HU;hvac;RS;HU;electricity
RS-ME;hvac;RS;ME;electricity
RS-MK;hvac;RS;MK;electricity
RS-RO;hvac;RS;RO;electricity
SE-FI;hvac;SE;FI;electricity
SE-NO;hvac;SE;NO;electricity
SE-DK;hvac;SE;DK;electricity
SI-AT;hvac;SI;AT;electricity
SI-HR;hvac;SI;HR;electricity
SI-HU;hvac;SI;HU;electricity
SI-IT;hvac;SI;IT;electricity
SK-CZ;hvac;SK;CZ;electricity
SK-HU;hvac;SK;HU;electricity
SK-PL;hvac;SK;PL;electricity
TR-BG;hvac;TR;BG;electricity
TR-GR;hvac;TR;GR;electricity
UK-IE;hvac;UK;IE;electricity
BE-DE;hvdc;BE;DE;electricity
BE-UK;hvdc;BE;UK;electricity
DE-BE;hvdc;DE;BE;electricity
DE-DK;hvdc;DE;DK;electricity
DE-NO;hvdc;DE;NO;electricity
DE-SE;hvdc;DE;SE;electricity
DE-UK;hvdc;DE;UK;electricity
DK-DE;hvdc;DK;DE;electricity
DK-NL;hvdc;DK;NL;electricity
DK-NO;hvdc;DK;NO;electricity
DK-SE;hvdc;DK;SE;electricity
DK-UK;hvdc;DK;UK;electricity
EE-FI;hvdc;EE;FI;electricity
FI-EE;hvdc;FI;EE;electricity
FI-SE;hvdc;FI;SE;electricity
FR-IE;hvdc;FR;IE;electricity
FR-UK;hvdc;FR;UK;electricity
GR-IT;hvdc;GR;IT;electricity
IE-FR;hvdc;IE;FR;electricity
IE-UK;hvdc;IE;UK;electricity
IT-ME;hvdc;IT;ME;electricity
IT-GR;hvdc;IT;GR;electricity
LT-SE;hvdc;LT;SE;electricity
ME-IT;hvdc;ME;IT;electricity
NL-DK;hvdc;NL;DK;electricity
NL-NO;hvdc;NL;NO;electricity
NL-UK;hvdc;NL;UK;electricity
NO-DE;hvdc;NO;DE;electricity
NO-DK;hvdc;NO;DK;electricity
NO-NL;hvdc;NO;NL;electricity
NO-UK;hvdc;NO;UK;electricity
PL-SE;hvdc;PL;SE;electricity
SE-DK;hvdc;SE;DK;electricity
SE-FI;hvdc;SE;FI;electricity
SE-DE;hvdc;SE;DE;electricity
SE-LT;hvdc;SE;LT;electricity
SE-PL;hvdc;SE;PL;electricity
UK-BE;hvdc;UK;BE;electricity
UK-DE;hvdc;UK;DE;electricity
UK-DK;hvdc;UK;DK;electricity
UK-FR;hvdc;UK;FR;electricity
UK-IE;hvdc;UK;IE;electricity
UK-NL;hvdc;UK;NL;electricity
UK-NO;hvdc;UK;NO;electricity
BE-DK;hvdc;BE;DK;electricity
DK-BE;hvdc;DK;BE;electricity
AT-DE;h2_pipeline;AT;DE;hydrogen
AT-IT;h2_pipeline;AT;IT;hydrogen
AT-SI;h2_pipeline;AT;SI;hydrogen
AT-SK;h2_pipeline;AT;SK;hydrogen
BG-GR;h2_pipeline;BG;GR;hydrogen
BG-RO;h2_pipeline;BG;RO;hydrogen
CH-IT;h2_pipeline;CH;IT;hydrogen
CZ-DE;h2_pipeline;CZ;DE;hydrogen
CZ-SK;h2_pipeline;CZ;SK;hydrogen
DE-AT;h2_pipeline;DE;AT;hydrogen
DE-CZ;h2_pipeline;DE;CZ;hydrogen
DE-DK;h2_pipeline;DE;DK;hydrogen
DE-FI;h2_pipeline;DE;FI;hydrogen
DE-FR;h2_pipeline;DE;FR;hydrogen
DE-NL;h2_pipeline;DE;NL;hydrogen
DE-PL;h2_pipeline;DE;PL;hydrogen
DK-DE;h2_pipeline;DK;DE;hydrogen
EE-FI;h2_pipeline;EE;FI;hydrogen
EE-LV;h2_pipeline;EE;LV;hydrogen
ES-FR;h2_pipeline;ES;FR;hydrogen
ES-IT;h2_pipeline;ES;IT;hydrogen
ES-PT;h2_pipeline;ES;PT;hydrogen
FI-DE;h2_pipeline;FI;DE;hydrogen
FI-EE;h2_pipeline;FI;EE;hydrogen
FI-FI;h2_pipeline;FI;FI;hydrogen
FI-SE;h2_pipeline;FI;SE;hydrogen
FR-DE;h2_pipeline;FR;DE;hydrogen
FR-ES;h2_pipeline;FR;ES;hydrogen
GR-BG;h2_pipeline;GR;BG;hydrogen
HR-HU;h2_pipeline;HR;HU;hydrogen
HR-SI;h2_pipeline;HR;SI;hydrogen
HU-HR;h2_pipeline;HU;HR;hydrogen
HU-RO;h2_pipeline;HU;RO;hydrogen
HU-SI;h2_pipeline;HU;SI;hydrogen
HU-SK;h2_pipeline;HU;SK;hydrogen
IT-AT;h2_pipeline;IT;AT;hydrogen
IT-CH;h2_pipeline;IT;CH;hydrogen
IT-ES;h2_pipeline;IT;ES;hydrogen
IT-IT;h2_pipeline;IT;IT;hydrogen
IT-SI;h2_pipeline;IT;SI;hydrogen
LT-LV;h2_pipeline;LT;LV;hydrogen
LT-PL;h2_pipeline;LT;PL;hydrogen
LV-EE;h2_pipeline;LV;EE;hydrogen
LV-LT;h2_pipeline;LV;LT;hydrogen
NL-DE;h2_pipeline;NL;DE;hydrogen
PL-DE;h2_pipeline;PL;DE;hydrogen
PL-LT;h2_pipeline;PL;LT;hydrogen
PT-ES;h2_pipeline;PT;ES;hydrogen
RO-BG;h2_pipeline;RO;BG;hydrogen
RO-HU;h2_pipeline;RO;HU;hydrogen
SE-FI;h2_pipeline;SE;FI;hydrogen
SI-AT;h2_pipeline;SI;AT;hydrogen
SI-HR;h2_pipeline;SI;HR;hydrogen
SI-HU;h2_pipeline;SI;HU;hydrogen
SI-IT;h2_pipeline;SI;IT;hydrogen
SK-AT;h2_pipeline;SK;AT;hydrogen
SK-CZ;h2_pipeline;SK;CZ;hydrogen
SK-HU;h2_pipeline;SK;HU;hydrogen
CH-DE;h2_pipeline;CH;DE;hydrogen
CH-FR;h2_pipeline;CH;FR;hydrogen
CZ-PL;h2_pipeline;CZ;PL;hydrogen
DE-CH;h2_pipeline;DE;CH;hydrogen
FR-CH;h2_pipeline;FR;CH;hydrogen
IE-UK;h2_pipeline;IE;UK;hydrogen
PL-CZ;h2_pipeline;PL;CZ;hydrogen
UK-IE;h2_pipeline;UK;IE;hydrogen
Liege-DE;h2_pipeline;Liege;DE;hydrogen
DE-Liege;h2_pipeline;DE;Liege;hydrogen
Liege-LU;h2_pipeline;Liege;LU;hydrogen
LU-Liege;h2_pipeline;LU;Liege;hydrogen
Antwerp-NL;h2_pipeline;Antwerp;NL;hydrogen
NL-Antwerp;h2_pipeline;NL;Antwerp;hydrogen
Ghent-NL;h2_pipeline;Ghent;NL;hydrogen
NL-Ghent;h2_pipeline;NL;Ghent;hydrogen
Tournai_Mons-FR;h2_pipeline;Tournai_Mons;FR;hydrogen
FR-Tournai_Mons;h2_pipeline;FR;Tournai_Mons;hydrogen
Charleroi-FR;h2_pipeline;Charleroi;FR;hydrogen
FR-Charleroi;h2_pipeline;FR;Charleroi;hydrogen
Ghent-Zeebrugge;h2_pipeline;Ghent;Zeebrugge;hydrogen
Zeebrugge-Ghent;h2_pipeline;Zeebrugge;Ghent;hydrogen
Ghent-Antwerp;h2_pipeline;Ghent;Antwerp;hydrogen
Antwerp-Ghent;h2_pipeline;Antwerp;Ghent;hydrogen
Ghent-Tournai_Mons;h2_pipeline;Ghent;Tournai_Mons;hydrogen
Tournai_Mons-Ghent;h2_pipeline;Tournai_Mons;Ghent;hydrogen
Ghent-Liege;h2_pipeline;Ghent;Liege;hydrogen
Liege-Ghent;h2_pipeline;Liege;Ghent;hydrogen
Tournai_Mons-Charleroi;h2_pipeline;Tournai_Mons;Charleroi;hydrogen
Charleroi-Tournai_Mons;h2_pipeline;Charleroi;Tournai_Mons;hydrogen
Liege-Charleroi;h2_pipeline;Liege;Charleroi;hydrogen
Charleroi-Liege;h2_pipeline;Charleroi;Liege;hydrogen
Liege-AlbertCanal;h2_pipeline;Liege;AlbertCanal;hydrogen
AlbertCanal-Liege;h2_pipeline;AlbertCanal;Liege;hydrogen
Antwerp-AlbertCanal;h2_pipeline;Antwerp;AlbertCanal;hydrogen
AlbertCanal-Antwerp;h2_pipeline;AlbertCanal;Antwerp;hydrogen
BE_cavern-Antwerp;h2_pipeline;BE_cavern;Antwerp;hydrogen
Antwerp-BE_cavern;h2_pipeline;Antwerp;BE_cavern;hydrogen
BE_cavern-AlbertCanal;h2_pipeline;BE_cavern;AlbertCanal;hydrogen
AlbertCanal-BE_cavern;h2_pipeline;AlbertCanal;BE_cavern;hydrogen
Zeebrugge-UK;h2_pipeline;Zeebrugge;UK;hydrogen
UK-Zeebrugge;h2_pipeline;UK;Zeebrugge;hydrogen
BE-Liege;local_tso;BE;Liege;electricity
Liege-BE;local_tso;Liege;BE;electricity
BE-Liege;local_biogas;BE;Liege;methane
BE-AlbertCanal;local_tso;BE;AlbertCanal;electricity
AlbertCanal-BE;local_tso;AlbertCanal;BE;electricity
BE-AlbertCanal;local_biogas;BE;AlbertCanal;methane
BE-Charleroi;local_tso;BE;Charleroi;electricity
