link;year_op;transport_tech;power_capacity_max;power_capacity_min
AL-GR;2030;hvac;400.0;400.0
AL-GR;2030;hvdc;0.0;0.0
AL-GR;2035;hvac;400.0;400.0
AL-GR;2035;hvdc;0.0;0.0
AL-ME;2030;hvac;300.0;300.0
AL-ME;2030;hvdc;0.0;0.0
AL-ME;2035;hvac;300.0;300.0
AL-ME;2035;hvdc;0.0;0.0
AL-MK;2030;hvac;500.0;500.0
AL-MK;2030;hvdc;0.0;0.0
AL-MK;2035;hvac;500.0;500.0
AL-MK;2035;hvdc;0.0;0.0
AL-RS;2030;hvac;250.0;250.0
AL-RS;2030;hvdc;0.0;0.0
AL-RS;2035;hvac;250.0;250.0
AL-RS;2035;hvdc;0.0;0.0
AT-CH;2030;hvac;1200.0;1200.0
AT-CH;2030;hvdc;0.0;0.0
AT-CH;2035;hvac;1200.0;1200.0
AT-CH;2035;hvdc;0.0;0.0
AT-CZ;2030;hvac;900.0;900.0
AT-CZ;2030;hvdc;0.0;0.0
AT-CZ;2035;hvac;900.0;900.0
AT-CZ;2035;hvdc;0.0;0.0
AT-DE;2030;hvac;7500.0;7500.0
AT-DE;2030;hvdc;0.0;0.0
AT-DE;2035;hvac;7500.0;7500.0
AT-DE;2035;hvdc;0.0;0.0
AT-HU;2030;hvac;800.0;800.0
AT-HU;2030;hvdc;0.0;0.0
AT-HU;2035;hvac;800.0;800.0
AT-HU;2035;hvdc;0.0;0.0
AT-IT;2030;hvac;725.0;725.0
AT-IT;2030;hvdc;0.0;0.0
AT-IT;2035;hvac;725.0;725.0
AT-IT;2035;hvdc;0.0;0.0
AT-SI;2030;hvac;950.0;950.0
AT-SI;2030;hvdc;0.0;0.0
AT-SI;2035;hvac;950.0;950.0
AT-SI;2035;hvdc;0.0;0.0
BA-HR;2030;hvac;800.0;800.0
BA-HR;2030;hvdc;0.0;0.0
BA-HR;2035;hvac;800.0;800.0
BA-HR;2035;hvdc;0.0;0.0
BA-ME;2030;hvac;500.0;500.0
BA-ME;2030;hvdc;0.0;0.0
BA-ME;2035;hvac;700.0;700.0
BA-ME;2035;hvdc;0.0;0.0
BA-RS;2030;hvac;800.0;800.0
BA-RS;2030;hvdc;0.0;0.0
BA-RS;2035;hvac;800.0;800.0
BA-RS;2035;hvdc;0.0;0.0
BE-DE;2030;hvac;0.0;0.0
BE-DE;2030;hvdc;1000.0;1000.0
BE-DE;2035;hvac;0.0;0.0
BE-DE;2035;hvdc;1000.0;1000.0
BE-DK;2030;hvac;0.0;0.0
BE-DK;2030;hvdc;0.0;0.0
BE-DK;2035;hvac;0.0;0.0
BE-DK;2035;hvdc;2000.0;2000.0
BE-FR;2030;hvac;2800.0;2800.0
BE-FR;2030;hvdc;0.0;0.0
BE-FR;2035;hvac;3800.0;3800.0
BE-FR;2035;hvdc;0.0;0.0
BE-NL;2030;hvac;2400.0;2400.0
BE-NL;2030;hvdc;0.0;0.0
BE-NL;2035;hvac;4400.0;4400.0
BE-NL;2035;hvdc;0.0;0.0
BE-UK;2030;hvac;0.0;0.0
BE-UK;2030;hvdc;2400.0;2400.0
BE-UK;2035;hvac;0.0;0.0
BE-UK;2035;hvdc;2400.0;2400.0
BG-GR;2030;hvac;1200.0;1200.0
BG-GR;2030;hvdc;0.0;0.0
BG-GR;2035;hvac;1500.0;1500.0
BG-GR;2035;hvdc;0.0;0.0
BG-MK;2030;hvac;400.0;400.0
BG-MK;2030;hvdc;0.0;0.0
BG-MK;2035;hvac;400.0;400.0
BG-MK;2035;hvdc;0.0;0.0
BG-RO;2030;hvac;2000.0;2000.0
BG-RO;2030;hvdc;0.0;0.0
BG-RO;2035;hvac;2300.0;2300.0
BG-RO;2035;hvdc;0.0;0.0
BG-RS;2030;hvac;400.0;400.0
BG-RS;2030;hvdc;0.0;0.0
BG-RS;2035;hvac;840.0;840.0
BG-RS;2035;hvdc;0.0;0.0
BG-TR;2030;hvac;432.0;432.0
BG-TR;2030;hvdc;0.0;0.0
BG-TR;2035;hvac;900.0;900.0
BG-TR;2035;hvdc;0.0;0.0
CH-AT;2030;hvac;1200.0;1200.0
CH-AT;2030;hvdc;0.0;0.0
CH-AT;2035;hvac;1200.0;1200.0
CH-AT;2035;hvdc;0.0;0.0
CH-DE;2030;hvac;4200.0;4200.0
CH-DE;2030;hvdc;0.0;0.0
CH-DE;2035;hvac;4500.0;4500.0
CH-DE;2035;hvdc;0.0;0.0
CH-FR;2030;hvac;1400.0;1400.0
CH-FR;2030;hvdc;0.0;0.0
CH-FR;2035;hvac;1400.0;1400.0
CH-FR;2035;hvdc;0.0;0.0
CH-IT;2030;hvac;4572.0;4572.0
CH-IT;2030;hvdc;0.0;0.0
CH-IT;2035;hvac;4572.0;4572.0
CH-IT;2035;hvdc;1000.0;1000.0
CZ-AT;2030;hvac;900.0;900.0
CZ-AT;2030;hvdc;0.0;0.0
CZ-AT;2035;hvac;900.0;900.0
CZ-AT;2035;hvdc;0.0;0.0
CZ-DE;2030;hvac;3000.0;3000.0
CZ-DE;2030;hvdc;0.0;0.0
CZ-DE;2035;hvac;3000.0;3000.0
CZ-DE;2035;hvdc;0.0;0.0
CZ-PL;2030;hvac;1050.0;1050.0
CZ-PL;2030;hvdc;0.0;0.0
CZ-PL;2035;hvac;1050.0;1050.0
CZ-PL;2035;hvdc;0.0;0.0
CZ-SK;2030;hvac;1905.0;1905.0
CZ-SK;2030;hvdc;0.0;0.0
CZ-SK;2035;hvac;1905.0;1905.0
CZ-SK;2035;hvdc;0.0;0.0
DE-AT;2030;hvac;7500.0;7500.0
DE-AT;2030;hvdc;0.0;0.0
DE-AT;2035;hvac;7500.0;7500.0
DE-AT;2035;hvdc;0.0;0.0
DE-BE;2030;hvac;0.0;0.0
DE-BE;2030;hvdc;1000.0;1000.0
DE-BE;2035;hvac;0.0;0.0
DE-BE;2035;hvdc;1000.0;1000.0
DE-CH;2030;hvac;4400.0;4400.0
DE-CH;2030;hvdc;0.0;0.0
DE-CH;2035;hvac;5000.0;5000.0
DE-CH;2035;hvdc;0.0;0.0
DE-CZ;2030;hvac;3000.0;3000.0
DE-CZ;2030;hvdc;0.0;0.0
DE-CZ;2035;hvac;3000.0;3000.0
DE-CZ;2035;hvdc;0.0;0.0
DE-DK;2030;hvac;3900.0;3900.0
DE-DK;2030;hvdc;2600.0;2600.0
DE-DK;2035;hvac;3900.0;3900.0
DE-DK;2035;hvdc;2600.0;2600.0
DE-FR;2030;hvac;4800.0;4800.0
DE-FR;2030;hvdc;0.0;0.0
DE-FR;2035;hvac;4800.0;4800.0
DE-FR;2035;hvdc;0.0;0.0
DE-LU;2030;hvac;3700.0;3700.0
DE-LU;2030;hvdc;0.0;0.0
DE-LU;2035;hvac;3700.0;3700.0
DE-LU;2035;hvdc;0.0;0.0
DE-NL;2030;hvac;5000.0;5000.0
DE-NL;2030;hvdc;0.0;0.0
DE-NL;2035;hvac;5000.0;5000.0
DE-NL;2035;hvdc;0.0;0.0
DE-NO;2030;hvac;0.0;0.0
DE-NO;2030;hvdc;1400.0;1400.0
